Title,Summary,URL,Interesting
Man released in inquiry into Ireland's biggest drugs seizure,More than two tonnes of cocaine was found on a cargo ship off County Cork on Tuesday.,/news/articles/c4n6p9n8pl9o,0
Last-ditch scramble to prevent US government shutdown,Congress needs to reach agreement on funding federal agencies before a Saturday midnight deadline.,/news/world-us-canada-66965214,1
Indian diplomat blocked from Glasgow gurdwara visit,Sikh activists confronted the diplomat amid a row over the death of a separatist leader in Canada.,/news/uk-scotland-glasgow-west-66972611,1
Almost all ethnic Armenians flee Nagorno-Karabakh,Almost the entire ethnic Armenian population has fled the region since Azerbaijan seized it last week.,/news/world-europe-66969845,1
'This could end us' - US businesses brace for shutdown,Thousands of firms in the US rely on business from federal parks. A shutdown leaves them in the lurch.,/news/world-us-canada-66965019,1
Lorna Woodnutt named as woman killed in Offaly,"A teenage boy has been arrested following an incident near Tullamore, County Offaly on Friday.",/news/articles/c3grnd9zp6no,0
The populist ex-PM vowing to cut Ukraine support,"Robert Fico says if his party returns to power in Saturday's vote, military aid to Ukraine will end.",/news/world-europe-66938694,1
Man dies in Australia after whale strikes boat,"Police said the likely collision had caused the boat to tilt, throwing both men overboard.",/news/world-australia-66969844,0
Israeli prison guards banned after inmate sex claims,A female soldier allegedly had an intimate relationship with a Palestinian serving a life sentence.,/news/world-middle-east-66968029,0
Women adding bleach to clean children's dirty water,Fountain of Life charity has created 250 boreholes to serve communities in Africa.,/news/uk-england-wiltshire-66924318,0
The Irish matchmaker finding love outside of apps,"Every September, thousands travel to County Clare's Lisdoonvarna with hopes of finding the one.",/news/articles/cyjwjwppwz7o,0
Six dead and 15 trapped in Zimbabwe mine collapse,Rescue efforts are under way to reach those who became trapped when a shaft at a gold mine collapsed.,/news/world-africa-66968026,0
The complicated race to replace Diane Feinstein,California Governor Gavin Newsom must appoint a replacement just months before a scheduled primary.,/news/world-us-canada-66965948,0
